MB 252 (4x4) -> Y = 73 | CbCr = 38
MB 253 (4x4) -> Y = 57 | CbCr = 81
MB 254 (4x4) -> Y = 72 | CbCr = 589
MB 255 (16x16) -> Y = 59 | CbCr = 251
MB 256 (16x16) -> Y = 54 | CbCr = 97
MB 257 (16x16) -> Y = 62 | CbCr = 77
MB 258 (4x4) -> Y = 14 | CbCr = 37
MB 259 (4x4) -> Y = 190 | CbCr = 470
MB 260 (16x16) -> Y = 59 | CbCr = 50
MB 261 (16x16) -> Y = 50 | CbCr = 45
MB 262 (16x16) -> Y = 53 | CbCr = 55
MB 263 (16x16) -> Y = 52 | CbCr = 121
MB 264 (16x16) -> Y = 64 | CbCr = 168
MB 265 (4x4) -> Y = 65 | CbCr = 74
MB 266 (16x16) -> Y = 55 | CbCr = 55
MB 267 (16x16) -> Y = 65 | CbCr = 54
MB 268 (16x16) -> Y = 61 | CbCr = 56
MB 269 (4x4) -> Y = 79 | CbCr = 49
MB 270 (16x16) -> Y = 58 | CbCr = 47
MB 271 (4x4) -> Y = 49 | CbCr = 23
MB 272 (4x4) -> Y = 62 | CbCr = 37
MB 273 (4x4) -> Y = 36 | CbCr = 71
MB 274 (16x16) -> Y = 55 | CbCr = 116
MB 275 (4x4) -> Y = 57 | CbCr = 212
MB 276 (16x16) -> Y = 69 | CbCr = 128
MB 277 (4x4) -> Y = 52 | CbCr = 51
MB 278 (16x16) -> Y = 58 | CbCr = 104
MB 279 (4x4) -> Y = 74 | CbCr = 174
MB 280 (4x4) -> Y = 48 | CbCr = 241
MB 281 (4x4) -> Y = 49 | CbCr = 516
MB 282 (16x16) -> Y = 72 | CbCr = 378
MB 283 (16x16) -> Y = 65 | CbCr = 85
MB 284 (4x4) -> Y = 60 | CbCr = 436
MB 285 (4x4) -> Y = 56 | CbCr = 62
MB 286 (4x4) -> Y = 69 | CbCr = 48
MB 287 (16x16) -> Y = 69 | CbCr = 55
MB 288 (16x16) -> Y = 65 | CbCr = 31
MB 289 (16x16) -> Y = 49 | CbCr = 52
MB 290 (16x16) -> Y = 61 | CbCr = 78
MB 291 (4x4) -> Y = 66 | CbCr = 195
MB 292 (16x16) -> Y = 68 | CbCr = 686
MB 293 (4x4) -> Y = 45 | CbCr = 147
MB 294 (16x16) -> Y = 59 | CbCr = 90
MB 295 (4x4) -> Y = 20 | CbCr = 68
MB 296 (4x4) -> Y = 198 | CbCr = 499
MB 297 (16x16) -> Y = 80 | CbCr = 66
MB 298 (4x4) -> Y = 78 | CbCr = 50
MB 299 (16x16) -> Y = 60 | CbCr = 103
MB 300 (4x4) -> Y = 80 | CbCr = 104
MB 301 (4x4) -> Y = 68 | CbCr = 182
MB 302 (4x4) -> Y = 60 | CbCr = 35
MB 303 (16x16) -> Y = 77 | CbCr = 91
MB 304 (16x16) -> Y = 67 | CbCr = 82
MB 305 (4x4) -> Y = 82 | CbCr = 78
MB 306 (4x4) -> Y = 72 | CbCr = 89
MB 307 (16x16) -> Y = 41 | CbCr = 50
MB 308 (16x16) -> Y = 45 | CbCr = 59
MB 309 (16x16) -> Y = 67 | CbCr = 53
MB 310 (4x4) -> Y = 75 | CbCr = 82
MB 311 (16x16) -> Y = 55 | CbCr = 83
MB 312 (4x4) -> Y = 67 | CbCr = 488
MB 313 (16x16) -> Y = 62 | CbCr = 64
MB 314 (16x16) -> Y = 67 | CbCr = 99
MB 315 (4x4) -> Y = 75 | CbCr = 84
MB 316 (16x16) -> Y = 53 | CbCr = 80
MB 317 (16x16) -> Y = 61 | CbCr = 65
MB 318 (16x16) -> Y = 77 | CbCr = 51
MB 319 (4x4) -> Y = 64 | CbCr = 76
MB 320 (16x16) -> Y = 48 | CbCr = 223
MB 321 (4x4) -> Y = 47 | CbCr = 65
MB 322 (16x16) -> Y = 58 | CbCr = 52
MB 323 (4x4) -> Y = 54 | CbCr = 57
MB 324 (16x16) -> Y = 61 | CbCr = 45
MB 325 (4x4) -> Y = 49 | CbCr = 32
MB 326 (16x16) -> Y = 50 | CbCr = 21
MB 327 (4x4) -> Y = 77 | CbCr = 41
MB 328 (4x4) -> Y = 82 | CbCr = 132
MB 329 (4x4) -> Y = 74 | CbCr = 538
MB 330 (16x16) -> Y = 41 | CbCr = 195
MB 331 (16x16) -> Y = 50 | CbCr = 112
MB 332 (4x4) -> Y = 28 | CbCr = 68
MB 333 (4x4) -> Y = 194 | CbCr = 469
MB 334 (16x16) -> Y = 55 | CbCr = 52
MB 335 (16x16) -> Y = 48 | CbCr = 79
MB 336 (16x16) -> Y = 54 | CbCr = 91
MB 337 (4x4) -> Y = 60 | CbCr = 69
MB 338 (16x16) -> Y = 79 | CbCr = 210
MB 339 (4x4) -> Y = 78 | CbCr = 47
MB 340 (4x4) -> Y = 66 | CbCr = 60
MB 341 (4x4) -> Y = 55 | CbCr = 101
MB 342 (16x16) -> Y = 60 | CbCr = 77
